brand,product_name,product_type,country_of_origin,price,category,quantity,unit,retinoids,ingredients
Murad,Murad Resurgence Renewing Eye Cream (15Ml),Eye Care,United States,81.25,Luxury,15.0,ml,Retinol,"['Butylene Glycol', 'Tricaprylyl Citrate', 'Bis-Diglyceryl Polyacyladipate-2', 'Simmondsia Chinensis Leaf Extract', 'Pentylene Glycol', 'Boron Nitride', 'Capric Triglyceride', 'Cetyl Alcohol', 'Stearic Acid', 'Glyceryl Stearate', 'Peg-100 Stearate', 'Glycerin', 'Glycine Soja Extract', 'Palmitoyl Pentapeptide-4', 'Iris Florentina Root Extract', 'Dioscorea Villosa (Wild Yam) Root Extract', 'Glycine Soja Extract', 'Trifolium Pratense (Clover) Flower Extract', 'Citrus Unshiu Peel Extract', 'Palmitoyl Tetrapeptide-7', 'Retinol', 'Polyquaternium-51', 'Serenoa Serrulata Fruit Extract', 'Oenothera Biennis Flower Extract', 'Borago Officinalis Seed Oil', 'Dipeptide-2', 'Hesperidin Methyl Chalcone', 'Capric Triglyceride', 'Mangifera Indica Extract', 'Dimethicon', 'Sodium Pca', 'Panthenol', 'Cetyl Phosphate', 'Oleyl Alcohol', 'Steareth-20', 'Lecithin', 'Carbomer', 'Polysorbate-20', 'Aminomethyl Propanol', 'Disodium Edta', 'Silica', 'Phenoxyethanol', 'Propylparaben', 'Methylparaben', 'Titanium Dioxide', 'Ci 77491']"
Dermalogica,Dermalogica Multivitamin Power Firm 15Ml,Eye Care,United States,53.44,Luxury,15.0,ml,Retinyl Palmitate,"['Cyclopentasiloxane', 'Bis-Diglyceryl Polyacyladipate-2', 'Dimethicon Crosspolymer', 'Cetyl Ethylhexanoate', 'Polyethylene', 'Tocopheryl Acetate', 'Camellia Sinensis Extract', 'Chamomilla Recutita Flower Oil', 'Corallina Officinalis Extract', 'Carthamus Tinctorius Extract', 'Vitis Vinifera Extract', 'Aroma', 'Ascorbic Acid', 'Glycyrrhetinic Acid', 'Boron Nitride', 'Retinyl Palmitate']"
Dermalogica,Dermalogica Intensive Eye Repair (15Ml),Eye Care,United States,55.69,Luxury,15.0,ml,Retinyl Palmitate,"['Water ', 'Cyclopentasiloxane', 'Butylene Glycol', 'Bis-Diglyceryl Polyacyladipate-2', 'Squalene', 'Persea Gratissima Oil Unsaponifiables', 'Butyrospermum Parkii ', 'Glyceryl Stearate', 'Peg-100 Stearate', 'Cetyl Alcohol', 'Peg-40 Stearate', 'Extracts Of: Rosa Centifolia Flower', 'Centella Asiatica', 'Echinacea Purpurea', 'Vitis Vinifera Seed', 'Camellia Oleifera Leaf', 'Ginkgo Biloba Leaf', 'Dioscorea Villosa Root', 'Cucumis Sativus Fruit', 'Ruscus Aculeatus Root', 'Arnica Montana Flower', 'Lecithin', 'Phospholipid', 'Glycolipids', 'Sodium Pca', 'Sodium Hyaluronate', 'Tocopheryl Acetate', 'Stearic Acid', 'Dea-Cetyl Phosphate', 'Sorbitan Tristearate', 'Dimethicon', 'Dimethiconol', 'Sclerotium Gum', 'Superoxide Dismutase', 'Triethanolamine', 'Panthenol', 'Disodium Edta', 'Phenoxyethanol', 'Retinyl Palmitate', 'Ascorbyl Palmitate', 'Methylparaben', 'Propylparaben']"
Murad,Murad Essential C Eye Cream Spf15 15Ml,Eye Care,United States,75.0,Luxury,15.0,ml,Retinol,"['Butylene Glycol', 'Bis-Diglyceryl Polyacyladipate-2', 'Capric Triglyceride', 'Shorea Stenoptera Butter', 'Peg-100 Stearate', 'Glyceryl Stearate', 'Cetyl Alcohol', 'Silica', 'Stearic Acid', 'Lysine Lauroyl Methionate', 'Rice Amino Acids', 'Zinc Aspartate', 'Chitosan Ascorbate', 'Retinol', 'Glycine Soja Extract', 'Persea Gratissima Oil', 'Cimicifuga Racemosa Root Extract', 'Caffeinee', 'Siloxanetriol Alginate', 'Centella Asiatica Extract', 'Methylsilanol Mannuronate', 'Phytonadione', 'Dimethicon', 'Phospholipid', 'Tocopheryl Acetate', 'Retinyl Palmitate', 'Ascorbyl Palmitate', 'Panthenol', 'Sodium Pca', 'Cetyl Phosphate', 'Carbomer', 'Triethanolamine', 'Disodium Edta', 'Phenoxyethanol', 'Methylparaben', 'Propylparaben', 'Titanium Dioxide', 'Ci 77491']"
Murad,Murad Essential C Eye Cream Spf15 15Ml,Eye Care,United States,75.0,Luxury,15.0,ml,Retinyl Palmitate,"['Butylene Glycol', 'Bis-Diglyceryl Polyacyladipate-2', 'Capric Triglyceride', 'Shorea Stenoptera Butter', 'Peg-100 Stearate', 'Glyceryl Stearate', 'Cetyl Alcohol', 'Silica', 'Stearic Acid', 'Lysine Lauroyl Methionate', 'Rice Amino Acids', 'Zinc Aspartate', 'Chitosan Ascorbate', 'Retinol', 'Glycine Soja Extract', 'Persea Gratissima Oil', 'Cimicifuga Racemosa Root Extract', 'Caffeinee', 'Siloxanetriol Alginate', 'Centella Asiatica Extract', 'Methylsilanol Mannuronate', 'Phytonadione', 'Dimethicon', 'Phospholipid', 'Tocopheryl Acetate', 'Retinyl Palmitate', 'Ascorbyl Palmitate', 'Panthenol', 'Sodium Pca', 'Cetyl Phosphate', 'Carbomer', 'Triethanolamine', 'Disodium Edta', 'Phenoxyethanol', 'Methylparaben', 'Propylparaben', 'Titanium Dioxide', 'Ci 77491']"
Medik8,Medik8 R-Retinoate Day And Night Eye Serum 15Ml,Eye Care,United Kingdom,112.5,Luxury,15.0,ml,Retinyl Retinoate,"['Capric Triglyceride', 'Isododecane', 'Cetearyl Alcohol', '1,2-Hexanediol', 'Glycerin', 'Cetearyl Olivate', 'Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Polylactic Acid', 'Sorbitan Olivate', 'Squalene', 'Retinyl Retinoate', 'Hydrolyzed Glycosaminoglycans', 'Cholesteryl Nonanoate', 'Glucosyl Hesperidin', 'Caffeinee', 'Sodium Hyaluronate', 'Tetrahexyldecyl Ascorbate', 'Tocopheryl Acetate', 'Caprylhydroxamic Acid', 'Canola Oil', 'Scutellaria Baicalensis Extract', 'Vanilla Planifolia Extract', 'Illicium Verum Fruit Extract', 'Butylene Glycol', 'Theophylline', 'Theobromine', 'Disodium Edta', 'Citric Acid']"
Peter Thomas Roth,Peter Thomas Roth Retinol Eye Care 15Ml,Eye Care,United States,57.5,Luxury,15.0,ml,Retinol,"['Glyceryl Stearate', 'Capric Triglyceride', 'Cetyl Alcohol', 'Propylene Glycol Stearate', 'Cera Alba', 'Caffeinee', 'Retinol', 'Butyrospermum Parkii', 'Persea Gratissima Oil', 'Ascorbic Acid', 'Retinyl Palmitate', 'Tocopheryl Acetate', 'Sodium Hyaluronate', 'Sodium Pca', 'Bht', 'Superoxide Dismutase', 'Squalene', 'Aloe Barbadenis Extract', 'Soluble Collagen', 'Hydrolyzed Elastin', 'Lecithin', 'Allantoin', 'Panthenol', 'Ceramide Np', 'Echinacea Purpurea Extract', 'Algae Extract', 'C13-14 Isoparaffin', 'Foeniculum Vulgare Seed Extract', 'Rosa Canina Flower Oil', 'Viola Tricolor Extract', 'Camellia Sinensis Extract', 'Dimethicon', 'Helianthus Annuus Seed Oil', 'Wheat Amino Acids', 'Potassium Phosphate', 'Leuconostoc/Radish Root Ferment Filtrate', 'Citric Acid', 'Disodium Edta', 'Carbomer', 'Triethanolamine', 'Steapyrium Chloride', 'Polyacrylamide', 'Polysorbate-20', 'Oleic Acid', 'Soy Acid', 'Laureth-7', 'Ascorbyl Methylsilanol Pectinate', 'Edta', 'Methylpropanediol', 'Butylene Glycol', 'Propylene Glycol', 'Potassium Sorbate', 'Sodium Benzoate', 'Pentylene Glycol', 'Alcohol', 'Phenoxyethanol']"
Peter Thomas Roth,Peter Thomas Roth Retinol Eye Care 15Ml,Eye Care,United States,57.5,Luxury,15.0,ml,Retinyl Palmitate,"['Glyceryl Stearate', 'Capric Triglyceride', 'Cetyl Alcohol', 'Propylene Glycol Stearate', 'Cera Alba', 'Caffeinee', 'Retinol', 'Butyrospermum Parkii', 'Persea Gratissima Oil', 'Ascorbic Acid', 'Retinyl Palmitate', 'Tocopheryl Acetate', 'Sodium Hyaluronate', 'Sodium Pca', 'Bht', 'Superoxide Dismutase', 'Squalene', 'Aloe Barbadenis Extract', 'Soluble Collagen', 'Hydrolyzed Elastin', 'Lecithin', 'Allantoin', 'Panthenol', 'Ceramide Np', 'Echinacea Purpurea Extract', 'Algae Extract', 'C13-14 Isoparaffin', 'Foeniculum Vulgare Seed Extract', 'Rosa Canina Flower Oil', 'Viola Tricolor Extract', 'Camellia Sinensis Extract', 'Dimethicon', 'Helianthus Annuus Seed Oil', 'Wheat Amino Acids', 'Potassium Phosphate', 'Leuconostoc/Radish Root Ferment Filtrate', 'Citric Acid', 'Disodium Edta', 'Carbomer', 'Triethanolamine', 'Steapyrium Chloride', 'Polyacrylamide', 'Polysorbate-20', 'Oleic Acid', 'Soy Acid', 'Laureth-7', 'Ascorbyl Methylsilanol Pectinate', 'Edta', 'Methylpropanediol', 'Butylene Glycol', 'Propylene Glycol', 'Potassium Sorbate', 'Sodium Benzoate', 'Pentylene Glycol', 'Alcohol', 'Phenoxyethanol']"
Rapideye,Rapideye Firming Wrinkle Smoother 15Ml,Eye Care,United Kingdom,26.94,Affordable,15.0,ml,Retinol,"['Aloe Barbadenis Extract', 'Glycerin', 'Dimethicon', 'Cyclopentasiloxane', 'Caprylyl', 'Methicone', 'Stearyl Alcohol', 'Butyrospermum Parkii', 'Capric Triglyceride', 'Polysorbate 60', 'Butylene Glycol', 'Helianthus Annuus Seed Oil', 'Sorbitan Stearate', 'Sodium Pca', 'Panthenol', 'Acetyl Tetrapeptide-5', 'Retinol', 'Caffeinee', 'Sodium Hyaluronate', 'Rosmarinus Officinalis Extract', 'Citrus Aurantium Dulcis', 'Polymethyl Methacrylate', 'Silica', 'Allantoin', 'Acrylates/C10-30 Alkyl', 'Disodium Edta', 'Stearic Acid', 'Cetyl Alcohol', 'Tocopheryl Acetate', 'Ethyl Ferulate', 'Polyglyceryl-5 Oleate', 'Disodium Uridine Phosphate', 'Polysorbate-20', 'Sodium Hydroxide', 'Phenoxyethanol', 'Potassium Sorbate', 'Sodium Benzoate', 'Menthyl Lactate']"
First Aid Beauty,First Aid Beauty 5-In-1 Eye Cream (14.1Ml),Eye Care,United States,32.5,Affordable,1.0,ml,Retinyl Palmitate,"['Glycerin', 'Dimethicon', 'C12-15', 'Sodium Polyacrylate', 'Ethylhexyl Palmitate', 'Silica', 'Hydrogenated Lecithin', 'Caprylyl Methicone', 'Sodium Pca', 'Phenoxyethanol', 'Phenyl Methicone', 'Enteromorpha Compressa Extract', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate', 'Retinyl Palmitate', 'Camellia Sinensis Extract', 'Glycyrrhiza Glabra Root Extract', 'Chrysanthemum Parthenium (Feverfew) Extract', 'Polysilicone-11', 'Alpha-Arbutin', 'Sodium Hydroxide', 'Xanthan Gum', 'Caesalpinia Spinosa Extract', 'Sodium Benzoate', 'Potassium Sorbate', 'Glyceryl Polyacrylate', 'Bisabolol', 'Niacinamide', 'Tocopherol']"
Mac,Mac Fast Response Eye Cream 15Ml,Eye Care,United States,27.5,Affordable,15.0,ml,Retinyl Palmitate,"['Dimethicon', 'Isododecane', 'Polysilicone-11', 'Polyethylene', 'Butylene Glycol', 'Cyclopentasiloxane', 'Hexyldecyl Stearate', 'Caffeinee', 'Tocopheryl Acetate', 'Sodium Hyaluronate', 'Retinyl Palmitate', 'Faex Extract', 'Triticum Vulgare Bran Extract', 'Hordeum Vulgare Extract', 'Pyrus Malus Flower Extract', 'Cucumis Sativus Extract', 'Helianthus Annuus Seed Oil', 'Centella Asiatica Extract', 'Saccharomyces Lysate Extract', 'Squalene', 'Methyldihydrojasmonate', 'Phytosphingosine', 'Quaternium-18 Bentonite', 'Propylene Carbonate', 'Polymethyl Methacrylate', 'Cetyl Dimethicon', 'Dimethicon', 'Tetrasodium Edta', 'Sodium Dehydroacetate', 'Phenoxyethanol']"
Oskia,Oskia Renaissance Cleansing Gel (100Ml),Cleanser,United Kingdom,43.75,Affordable,100.0,ml,Retinyl Palmitate,"['Capric Triglyceride', 'Glycerin', 'Cetearyl Olivate', 'Sucrose Laurate', 'Benzyl Alcohol', 'Sorbitan Olivate', 'Sucrose Palmitate', 'Parfum', 'Geraniol', 'Dimethyl Sulfone', 'Citronellol', 'Dehydroacetic Acid', 'Cucurbita Pepo Seed Oil', 'Borago Officinalis Seed Oil', 'Sucrose Stearate', 'Linalool', 'Retinyl Palmitate', 'Ci 77491', 'Simmondsia Chinensis Leaf Extract', 'Tocopherol', 'Ascorbyl Palmitate']"
Murad,Murad Time Release Blemish Cleanser 200Ml,Cleanser,United States,37.5,Affordable,200.0,ml,Retinol,"['Disodium Cocoamphodiacetate', 'Glycerin', 'Cetyl Alcohol', 'Cocamidopropyl Betaine', 'Cetearyl Alcohol', 'Sodium Cocoyl Isethionate', 'Peg-100 Stearate', 'Glyceryl Stearate', 'Butylene Glycol', 'Sodium Hyaluronate', 'Tocopheryl Acetate', 'Capric Triglyceride', 'Retinol', 'Salix Alba Extract', 'Ascorbic Acid', 'Chitosan', 'Silver Citrate', 'Sodium Pca', 'Betaine', 'Sorbitol', 'Glycine', 'Alanine', 'Proline', 'Serine', 'Threonine', 'Arganine', 'Lysine', 'Glutamic Acid', 'Zinc Gluconate', 'Argania Spinosa Extract', 'Serenoa Serrulata Fruit Extract', 'Sesamium Indicum Seed Oil', 'Cimicifuga Racemosa Root Extract', 'Melaleuca Alternifolia Leaf Extract', 'Cocamidopropyl Dimethylamine', 'Zea Mays Starch', 'Hydrolyzed Corn Starch', 'Hydrolyzed Corn Starch', 'Citric Acid', 'Disodium Edta', 'Propyl Gallate', 'Polysorbate 80', 'Menthol', 'Cetearyl Glucoside', 'Glycol Distearate', 'Steareth-4', 'Peg-150 Distearate', 'Hydroxyethyl Cellulose', 'Polyacrylate-13', 'Polyisobutene', 'Polysorbate-20', 'Trisodium Ethylenediamine Disuccinate', 'Phenoxyethanol', 'Caprylyl Glycol', 'Chlorphenesin', 'Parfum']"
Pixi,Pixi Retinol Tonic 100Ml,Toner,United Kingdom,12.5,Affordable,100.0,ml,Retinol,"['Glycerin', 'Propanediol', 'Methyl Gluceth-20', 'Peg-8', 'Panthenol', 'Magnesium Ascorbyl Phosphate', 'Sodium Hyaluronate', 'Lecithin', 'Oenothera Biennis Flower Extract', 'Hibiscus Rosa-Sinensis Flower Extract', 'Sodium Acrylates Copolymer', 'Palmitoyl Tripeptide-27', 'Hydroxypropyl Cyclodextrin', 'Retinol', 'Phenoxyethanol', 'Capric Triglyceride', 'Jasminum Officinale Extract', 'Lavandula Angustifolia', 'Eugenia', 'Vitis Vinifera Extract', 'Sodium Citrate', 'Castor Oil', 'Disodium Edta', 'Citric Acid', 'Polysorbate-20', 'Ethylhexyl Glycerin']"
Pixi,Pixi Retinol Tonic 250Ml,Toner,United Kingdom,22.5,Affordable,250.0,ml,Retinol,"['Glycerin', 'Propanediol', 'Methyl Gluceth-20', 'Peg-8', 'Panthenol', 'Magnesium Ascorbyl Phosphate', 'Sodium Hyaluronate', 'Lecithin', 'Oenothera Biennis Flower Extract', 'Hibiscus Rosa-Sinensis Flower Extract', 'Sodium Acrylates Copolymer', 'Palmitoyl Tripeptide-27', 'Hydroxypropyl Cyclodextrin', 'Retinol', 'Phenoxyethanol', 'Capric Triglyceride', 'Jasminum Officinale Extract', 'Lavandula Angustifolia', 'Eugenia', 'Vitis Vinifera Extract', 'Sodium Citrate', 'Castor Oil', 'Disodium Edta', 'Citric Acid', 'Polysorbate-20', 'Ethylhexyl Glycerin']"
Nip+Fab,Nip+Fab Retinol Fix Tonic Extreme 100Ml,Toner,United Kingdom,31.19,Affordable,100.0,ml,Retinyl Palmitate,"['Glycerin', 'Castor Oil', 'Butylene Glycol', 'Phenoxyethanol', 'Bisabolol', 'Benzyl Alcohol', 'Retinyl Palmitate', 'Parfum', 'Disodium Edta', 'Panthenol', 'Ethylhexyl Glycerin', '1-Methylhydantoin-2-Imide', 'Sodium Hydroxide', 'Dehydroacetic Acid', 'Carbomer', 'Sodium Lactate', 'Benzyl Salicylate', 'Polysorbate-20', 'Hexyl Cinnamal', 'Tocopherol', 'Linalool', 'Palmitoyl Tripeptide-1', 'Palmitoyl Tetrapeptide-7']"
Filorga,Filorga Scrub And Mask 55Ml,Exfoliator,France,55.0,Luxury,55.0,ml,Retinyl Acetate,"['Perfluorohexane', 'Propanediol', 'Protease', 'Perlite', 'Sodium Polyacrylate', 'Polysorbate-20', 'Perfluorodecalin', 'Polyacrylate-13', 'Butylene Glycol', 'Decyl Glucoside', 'Benzyl Alcohol', 'Pentafluoropropane', 'Polyisobutene', 'Parfum', 'Polyacrylate Crosspolymer-6', 'Chlorphenesin', 'Sucrose Palmitate', 'Citric Acid', 'Titanium Dioxide', 'Disodium Edta', 'Sorbitan Isostearate', 'Glyceryl Linoleate', 'Prunus Amygdalus Dulcis', 'Sodium Chloride', '1,2-Hexanediol', 'Caprylyl Glycol', 'T-Butyl Alcohol', 'Glucose', 'Phenoxyethanol', 'Sodium Hyaluronate', 'Potassium Chloride', 'Potassium Sorbate', 'Calcium Chloride', 'Magnesium Sulfate', 'Glutamine', 'Sodium Phosphate', 'Ascorbic Acid', 'Sodium Acetate', 'Tocopherol', 'Lysine Hcl', 'Arganine', 'Alanine', 'Histidine', 'Valine', 'Leucine', 'Threonine', 'Isoleucine', 'Tryptophan', 'Phenylalanine', 'Tyrosine', 'Glycine', 'Polysorbate 80', 'Serine', 'Deoxyadenosine', 'Cysteine', 'Asparagine', 'Aspartic Acid', 'Glutathione', 'Cyanocobalamin', 'Deoxycytidine', 'Deoxyguanosine', 'Deoxythymidine', 'Ornithine', 'Glutamic Acid', 'Nicotinamide Adenine Dinucleotide', 'Proline', 'Aminobutyric Acid', 'Methionine', 'Taurine', 'Hydroxyproline', 'Glucosamine', 'Coenzyme A', 'Glucuronolactone', 'Sodium Glucuronate', 'Sodium Uridine Triphosphate', 'Thiamine Diphosphate', 'Inositol', 'Deoxycytidine', 'Retinyl Acetate', 'Disodium Flavine Adenine Dinucleotide', 'Niacin', 'Niacinamide', 'Pyridoxal 5-Phosphate', 'Pyridoxine Hcl', 'Biotin', 'Calcium Pantothenate', 'Folic Acid', 'Riboflavin', 'Tocopheryl Phosphate']"
Laura Mercier,Laura Mercier Crème Brûlée Crème Body Wash 200Ml,Body Wash,United States,41.25,Affordable,200.0,ml,Retinyl Palmitate,"['Sodium Laureth Sulfate', 'Tea-Lauryl Sulfate', 'Parfum', 'Cocamide Mea', 'Macadamia Ternifolia Seed Oil', 'Cocamidopropyl Betaine', 'Decyl Glucoside', 'Isostearyl Ethylimidazolinium Ethosulfate', 'Sodium Lauroyl', 'Polyquaternium-7', 'Glycerin', 'Guar Hydroxypropultrimonium Chloride', 'Macadamia Ternifolia Seed Oil', 'Butyrospermum Parkii', 'Glycol Distearate', 'Mel', 'Vanilla Planifolia Extract', 'Cinnamomum Cassia Oil', 'Coffea Arabica Seed Extract', 'Theobroma Cacao Extract', 'Myristica Fragrans Extract', 'Panthenol', 'Retinyl Palmitate', 'Tocopherol', 'Linolenic Acid', 'Linolenic Acid', 'Aloe Barbadenis Extract', 'Hydrolyzed Oat Protein', 'Hydrolyzed Silk', 'Prunus Amygdalus Dulcis', 'Peg-60 Almond Glycerides', 'Sodium Pca', 'Octyldodecanol', 'Arachidyl Propionate', 'Lecithin', 'Benzophenone-4', 'Citric Acid', 'Trisodium Edta', 'Phenoxyethanol', 'Methylparaben', 'Propylparaben', 'Ci 19140', 'Ci 17200']"
